State,From Year,To Year,Category,Sub-category,Display Names,Total,% To India,% To State,Males,% To Total,Females,% To Total,All India Total,All India Males,All India Females,All States,All India Figs
ORISSA,,2011,POPULATION,Sex Ratio-Rural,Sex Ratio-Rur,988,,,,,,,947,,,,
CHHATTISGARH,,2011,POPULATION,Sex Ratio (Females Per 1000 Males),Sex Ratio,991,,,,,,,940,,,,
PUDUCHERRY,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,991,,,,,,,1007,,,,
ANDAMAN & NICOBAR ISLANDS,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,992,,,,,,,1007,,,,
ANDHRA PRADESH,,2011,POPULATION,Sex Ratio (Females Per 1000 Males),Sex Ratio,992,,,,,,,947,,,,
SIKKIM,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,993,,,,,,,1007,,,,
TAMIL NADU,,2011,POPULATION,Sex Ratio-Rural,Sex Ratio-Rur,993,,,,,,,1007,,,,
KERALA,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,994,,,,,,,341.12,,,,
TRIPURA,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,995,,,,,,,1007,,,,
TAMIL NADU,,2011,POPULATION,Sex Ratio (Females Per 1000 Males),Sex Ratio,995,,,,,,,947,,,,
ANDHRA PRADESH,,2011,POPULATION,Sex Ratio-Rural,Sex Ratio-Rur,995,,,,,,,1007,,,,
MEGHALAYA,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,997,,,,,,,1007,,,,
GOA,,2011,POPULATION,Sex Ratio-Rural,Sex Ratio-Rur,997,,,,,,,1007,,,,
TAMIL NADU,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,998,,,,,,,341.12,,,,
CHANDIGARH,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),999,,,,,,,211622,,,,
UTTARAKHAND,,2011,POPULATION,Sex Ratio-Rural,Sex Ratio-Rur,1000,,,,,,,947,,,,
MIZORAM,2012,2013,Fiscal Developments,Tax Revenue (IN Rs cr) (BE),Tax Revenue(Cr),1000,,,,,,,947260,,,,
HARYANA,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,1002,,,,,,,25938,,,,
CHHATTISGARH,,2011,POPULATION,Sex Ratio-Rural,Sex Ratio-Rur,1002,,,,,,,947,,,,
BIHAR,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1003,,,,,,,1007,,,,
ASSAM,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1003,,,,,,,1007,,,,
HARYANA,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1004,,,,,,,1007,,,,
WEST BENGAL,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1004,,,,,,,1007,,,,
ANDHRA PRADESH,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1004,,,,,,,341.12,,,,
RAJASTHAN,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1006,,,,,,,1007,,,,
MADHYA PRADESH,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1006,,,,,,,1007,,,,
UTTAR PRADESH,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1006,,,,,,,1007,,,,
KARNATAKA,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1007,,,,,,,341.12,,,,
MAHARASHTRA,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),1008,,,,,,,959,,,,
LAKSHADWEEP,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1008,,,,,,,1007,,,,
ORISSA,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1009,,,,,,,1007,,,,
ARUNACHAL PRADESH,,2011,POPULATION,Sex Ratio-Rural,Sex Ratio-Rur,1010,,,,,,,947,,,,
MIZORAM,2012,2013,Fiscal Developments,Capital Expenditure (BE) (in Rs cr),Capital Expenditure(Cr),1010,,,,,,,343880,,,,
CHHATTISGARH,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1011,,,,,,,1007,,,,
NAGALAND,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1011,,,,,,,1007,,,,
JHARKHAND,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1013,,,,,,,1007,,,,
PUNJAB,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1014,,,,,,,1007,,,,
PUDUCHERRY,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),1014,,,,,,,242,,,,
HIMACHAL PRADESH,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1015,,,,,,,1007,,,,
JAMMU & KASHMIR,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1019,,,,,,,1007,,,,
TRIPURA,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),1019,,,,,,,211622,,,,
MAHARASHTRA,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1024,,,,,,,1007,,,,
MADHYA PRADESH,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1024.14,,,,,,,1054,,,,
GOA,2010,2011,ECONOMY/ BUDGET,Agriculture & Allied Activities (in Rs cr) ,Agriculture (Cr),1024.96,,,,,,,14,,,,
WEST BENGAL,,2011,POPULATION,Density Of Population (per sq km),Population Density,1029,,,,,,,382,,,,
PUDUCHERRY,,2011,POPULATION,Sex Ratio-Rural,Sex Ratio-Rur,1029,,,,,,,947,,,,
CHHATTISGARH,2012,2013,Fiscal Developments,Interest Payments (in Rs cr) (BE),Interest Payments(Cr),1030,,,,,,,136050,,,,
GOA,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1030,,,,,,,341.12,,,,
BIHAR,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,1031,,,,,,,25938,,,,
GUJARAT,,2011,POPULATION,Sex Ratio-Rural,Sex Ratio-Rur,1032,,,,,,,1007,,,,
TAMIL NADU,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),1033,,,68.6,,71.8,,,,,,
PUDUCHERRY,,2011,POPULATION,Sex Ratio (Females Per 1000 Males),Sex Ratio,1038,,,,,,,940,,,,
UTTARAKHAND,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1039,,,,,,,1007,,,,
MAHARASHTRA,,2010,INDUSTRY & INFRASTRUCTURE,Avg Cargo Handled Per Day  (in tonne) (Intl),Cargo Per Day (ton)(Intl),1047,,,,,,,3170,,,,
KERALA,2011,2012,INDUSTRY & INFRASTRUCTURE,Railway Coverage (Total in km),Railway Coverage (km),1050,,,,,,,,,,,
ASSAM,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1056.98,,,,,,,1054,,,,
GOA,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),1068,,,,,,,3170,,,,
UTTAR PRADESH,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1072.93,,,,,,,1054,,,,
ANDAMAN & NICOBAR ISLANDS,,2012,HEALTH,Total No of Beds (Govt) ,Total Beds (Govt) ,1075,,,,,,,784940,,,,
KERALA,,2011,POPULATION,Sex Ratio-Rural,Sex Ratio-Rur,1077,,,,,,,1007,,,,
SIKKIM,2012,2013,Fiscal Developments,Tax Revenue (IN Rs cr) (BE),Tax Revenue(Cr),1080,,,,,,,947260,,,,
ARUNACHAL PRADESH,,2009,HEALTH,HIV-Estimated Adults (15-49) With HIV,HIV-Adults,1082,,,,,,,2395444,,,,
SIKKIM,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),1082,,,,,,,242,,,,
KERALA,,2011,POPULATION,Sex Ratio (Females Per 1000 Males),Sex Ratio,1084,,,,,,,947,,,,
WEST BENGAL,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),1086,,,,,,,959,,,,
UTTARAKHAND,2009,2010,EDUCATION,Schools and Colleges-High or Post Basic Schools,High Schools,1087,,,,,,,123745,,,,
CHHATTISGARH,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),1094,,,,,,,211622,,,,
DADRA & NAGAR HAVELI,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1094.2,,,,,,,1054,,,,
BIHAR,,2011,POPULATION,Density Of Population (per sq km),Population Density,1102,,,,,,,382,,,,
PUNJAB,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),1112,,,,,,,959,,,,
DADRA & NAGAR HAVELI,,2011,POPULATION,Sex Ratio-Urban,Sex Ratio-Urb,1114,,,,,,,1007,,,,
TAMIL NADU,,2011,HEALTH,No of Dispensaries ,Dispensaries ,1119,,,,,,,922177,,,,
HIMACHAL PRADESH,,2011,HEALTH,No of Dispensaries ,Dispensaries ,1122,,,,,,,24146,,,,
MEGHALAYA,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of State Highways (Total in km),State Highways (km),1134,,,,,,,163898,,,,
RAJASTHAN,2009,2010,EDUCATION,"Colleges & Polytechnics-Arts, Fine Arts, Social Work, Science & Commerce",Colleges -Arts,1135,,,,,,,14321,,,,
MANIPUR,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of State Highways (Total in km),State Highways (km),1137,,,,,,,163898,,,,
TRIPURA,2009,2010,EDUCATION,Schools and Colleges-Middle or Sr Basic Schools  ,Middle Schools,1139,,,,,,,367745,,,,
ORISSA,2009,2010,EDUCATION,Schools and Colleges-Pre-Degree or Junior Colleges or Higher Sec. Schools,Junior Colleges,1144,,,,,,,66917,,,,
TRIPURA,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),1158,,,,,,,959,,,,
NAGALAND,2012,2013,Fiscal Developments,Tax Revenue (IN Rs cr) (BE),Tax Revenue(Cr),1160,,,,,,,947260,,,,
SIKKIM,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,1170,,,,,,,67822,,,,
WEST BENGAL,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1170.11,,,,,,,1054,,,,
GOA,,2012,HEALTH,No of Urban Beds (Govt),Urb. Beds (Govt),1187,,,,,,,7347,,,,
CHHATTISGARH,2011,2012,INDUSTRY & INFRASTRUCTURE,Railway Coverage (Total in km),Railway Coverage (km),1188,,,,,,,64600,,,,
ARUNACHAL PRADESH,2012,2013,Fiscal Developments,Capital Receipts (2012-13 BE) (in Rs cr),Capital Receipts(Cr),1190,,,,,,,302330,,,,
HIMACHAL PRADESH,,2011,HEALTH,No of Doctors,Doctors,1192,,,,,,,922177,,,,
TRIPURA,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1194.14,,,,,,,1054,,,,
PUNJAB,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),1202,,,,,,,93769,,,,
HARYANA,,2012,HEALTH,No of Rural Beds (Govt),Rur. Beds (Govt),1212,,,,,,,160862,,,,
GUJARAT,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,1218,,,,,,,25938,,,,
PUDUCHERRY,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of Rural Roads (Total in km),Coverage-Rur. Roads (km),1220,,,,,,,1849805,,,,
LAKSHADWEEP,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),1237,,,,,,,959,,,,
JAMMU & KASHMIR,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),1245,,,,,,,70934,,,,
GOA,2009,2010,EDUCATION,Schools and Colleges-Primary or Jr Basic Schools,Primary Schools,1252,,,,,,,367745,,,,
ANDAMAN & NICOBAR ISLANDS,2004,2005,HEALTH,Per Capita Public Expenditure (in Rs),Per Capita Public Expenditure ( Rs),1275,,,,,,,242,,,,
ARUNACHAL PRADESH,2012,2013,Fiscal Developments,Tax Revenue (IN Rs cr) (BE),Tax Revenue(Cr),1280,,,,,,,947260,,,,
MADHYA PRADESH,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,1311,,,,,,,25938,,,,
MIZORAM,2009,2010,EDUCATION,Schools and Colleges-Middle or Sr Basic Schools  ,Middle Schools,1313,,,,,,,367745,,,,
ANDAMAN & NICOBAR ISLANDS,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),1314,,,,,,,211622,,,,
MEGHALAYA,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1315.11,,,,,,,1054,,,,
MEGHALAYA,,2009,HEALTH,HIV-Estimated Adults (15-49) With HIV,HIV-Adults,1332,,,,,,,2395444,,,,
MANIPUR,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1334.55,,,,,,,1054,,,,
ORISSA,,2011,HEALTH,No of Dispensaries ,Dispensaries ,1335,,,,,,,24146,,,,
CHHATTISGARH,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,1346,,,,,,,67822,,,,
DELHI,2009,2010,EDUCATION,Schools and Colleges-Pre-Degree or Junior Colleges or Higher Sec. Schools,Junior Colleges,1350,,,,,,,66917,,,,
UTTARAKHAND,2009,2010,EDUCATION,Schools and Colleges-Pre-Degree or Junior Colleges or Higher Sec. Schools,Junior Colleges,1352,,,,,,,66917,,,,
ARUNACHAL PRADESH,,2012,HEALTH,No of Rural Beds (Govt),Rur. Beds (Govt),1356,,,,,,,160862,,,,
MAHARASHTRA,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),1366,,,,,,,11993,,,,
MIZORAM,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1384.44,,,,,,,1054,,,,
MANIPUR,,2012,HEALTH,Total No of Beds (Govt) ,Total Beds (Govt) ,1385,,,,,,,784940,,,,
ANDAMAN & NICOBAR ISLANDS,2009,2011,INDUSTRY & INFRASTRUCTURE,Road Coverage (Total in km),Road Coverage (km),1386,,,,,,,4690342,,,,
KARNATAKA,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1395.1,,,,,,,1984,,,,
BIHAR,2011,2012,POPULATION,MPCE Urban (Rs Per month),MPCE-Urb,1396.65,,,,,,,1984,,,,
DELHI,2010,2011,ECONOMY/ BUDGET,Agriculture & Allied Activities (in Rs cr) ,Agriculture (Cr),1401.81,,,,,,,724279.85,,,,
DAMAN & DIU,,2011,POPULATION,Aadhar (upto 18th May 2013)- No of Persons Enrolled (in million),Aadhar(Mn),1402,,,,,,,1007,,,,
HIMACHAL PRADESH,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),1409,,,,,,,70934,,,,
HIMACHAL PRADESH,2009,2010,EDUCATION,Schools and Colleges-High or Post Basic Schools,High Schools,1413,,,,,,,123745,,,,
GOA,,2012,HEALTH,No of Rural Beds (Govt),Rur. Beds (Govt),1422,,,,,,,24146,,,,
JHARKHAND,2009,2010,EDUCATION,Schools and Colleges-High or Post Basic Schools,High Schools,1429,,,,,,,123745,,,,
MIZORAM,,2012,HEALTH,Total No of Beds (Govt) ,Total Beds (Govt) ,1430,,,,,,,784940,,,,
GUJARAT,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1430.12,,,,,,,1054,,,,
PUDUCHERRY,2009,2010,HEALTH,Tuberculosis-Total patients registered for treatment,TB-ppl registered for treatment,1437,1522147,,,,,,1522147,,,,
GOA,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),1437,,,NA,,NA,,,,,,
NAGALAND,,2012,HEALTH,No of Urban Beds (Govt),Urb. Beds (Govt),1445,,,,,,,618664,,,,
SIKKIM,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1445.06,,,,,,,1054,,,,
RAJASTHAN,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1445.74,,,,,,,1054,,,,
MAHARASHTRA,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1445.89,,,,,,,1054,,,,
MANIPUR,2011,2012,POPULATION,MPCE Urban (Rs Per month),MPCE-Urb,1448.91,,,,,,,1984,,,,
ARUNACHAL PRADESH,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1455.87,,,,,,,1054,,,,
DADRA & NAGAR HAVELI,2010,2011,INDUSTRY & INFRASTRUCTURE,No of Factories (in 2010-11),Factories,1457,,,,,,,211660,,,,
KERALA,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),1457,,,,,,,163898,,,,
CHHATTISGARH,,2011,HEALTH,No of Dispensaries ,Dispensaries ,1470,,,,,,,24146,,,,
KERALA,,2011,HEALTH,No of Dispensaries ,Dispensaries ,1471,,,,,,,922177,,,,
PUNJAB,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of State Highways (Total in km),State Highways (km),1477,,,,,,,163898,,,,
HARYANA,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),1518,,,,,,,70934,,,,
SIKKIM,2012,2013,Fiscal Developments,Capital Expenditure (BE) (in Rs cr),Capital Expenditure(Cr),1540,,,,,,,343880,,,,
UTTARAKHAND,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1551.42,,,,,,,1054,,,,
HARYANA,2011,2012,INDUSTRY & INFRASTRUCTURE,Railway Coverage (Total in km),Railway Coverage (km),1553,,,,,,,64600,,,,
PUNJAB,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),1557,,,,,,,70934,,,,
SIKKIM,,2012,HEALTH,Total No of Beds (Govt) ,Total Beds (Govt) ,1560,,,,,,,784940,,,,
ANDHRA PRADESH,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1563.21,,,,,,,1984,,,,
MEGHALAYA,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of Rural Roads (Total in km),Coverage-Rur. Roads (km),1569,,,,,,,1849805,,,,
TAMIL NADU,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1570.61,,,,,,,1984,,,,
GOA,2012,2013,Fiscal Developments,Capital Receipts (2012-13 BE) (in Rs cr),Capital Receipts(Cr),1580,,,,,,,343880,,,,
MEGHALAYA,2012,2013,Fiscal Developments,Capital Expenditure (BE) (in Rs cr),Capital Expenditure(Cr),1600,,,,,,,343880,,,,
JAMMU & KASHMIR,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1601.51,,,,,,,1054,,,,
ARUNACHAL PRADESH,2010,2011,ECONOMY/ BUDGET,Agriculture & Allied Activities (in Rs cr) ,Agriculture (Cr),1603.51,,,,,,,724279.85,,,,
RAJASTHAN,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,1610,,,,,,,25938,,,,
CHANDIGARH,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of Urban Roads (Total in km),Coverage-Urb. Roads (km),1613,,,,,,,411840,,,,
CHANDIGARH,2010,2011,INDUSTRY & INFRASTRUCTURE,Invested Capital (in Rs cr),Invested Capital (Cr),1618.31,,,,,,,2394711.06,,,,
ASSAM,2012,2013,Fiscal Developments,Interest Payments (in Rs cr) (BE),Interest Payments(Cr),1620,,,,,,,136050,,,,
MADHYA PRADESH,,2011,HEALTH,No of Dispensaries ,Dispensaries ,1623,,,,,,,24146,,,,
HIMACHAL PRADESH,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of State Highways (Total in km),State Highways (km),1626,,,,,,,163898,,,,
PUDUCHERRY,2004,2005,HEALTH,Per Capita Private Expenditure (in Rs),Per Capita Private Expenditure ( Rs),1639,,,,,,,959,,,,
SIKKIM,2009,2010,HEALTH,Tuberculosis-Total patients registered for treatment,TB-ppl registered for treatment,1646,,,,,,,1522147,,,,
SIKKIM,2010,2011,INDUSTRY & INFRASTRUCTURE,Invested Capital (in Rs cr),Invested Capital (Cr),1649.22,,,,,,,2394711.06,,,,
ORISSA,,2012,HEALTH,No of Rural Hospitals (Govt),Rur. Hospitals (Govt),1659,,,,,,,7347,,,,
NAGALAND,2009,2010,EDUCATION,Schools and Colleges-Primary or Jr Basic Schools,Primary Schools,1662,,,,,,,823162,,,,
HIMACHAL PRADESH,2009,2010,EDUCATION,Schools and Colleges-Pre-Degree or Junior Colleges or Higher Sec. Schools,Junior Colleges,1674,,,,,,,66917,,,,
ARUNACHAL PRADESH,2009,2010,EDUCATION,Schools and Colleges-Pre-Primary or Pre Basic Schools,Pre-Primary Schools,1688,,,,,,,67822,,,,
MANIPUR,2012,2013,Fiscal Developments,Tax Revenue (IN Rs cr) (BE),Tax Revenue(Cr),1690,,,,,,,947260,,,,
ORISSA,,2012,HEALTH,Total No of Hospitals (Govt),Total Hospitals (Govt),1750,,,,,,,11993,,,,
NAGALAND,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1756.7,,,,,,,1054,,,,
JAMMU & KASHMIR,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of Urban Roads (Total in km),Coverage-Urb. Roads (km),1762,,,,,,,411840,,,,
CHHATTISGARH,2011,2012,POPULATION,MPCE Urban (Rs Per month),MPCE-Urb,1776.21,,,,,,,1984,,,,
MANIPUR,2010,2011,ECONOMY/ BUDGET,Agriculture & Allied Activities (in Rs cr) ,Agriculture (Cr),1780.11,,,,,,,724279.85,,,,
MIZORAM,2009,2010,EDUCATION,Schools and Colleges-Primary or Jr Basic Schools,Primary Schools,1782,,,,,,,823162,,,,
HIMACHAL PRADESH,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1800.62,,,,,,,1054,,,,
JHARKHAND,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),1805,,,,,,,70934,,,,
JAMMU & KASHMIR,,2012,HEALTH,No of Rural Beds (Govt),Rur. Beds (Govt),1820,,,,,,,160862,,,,
MEGHALAYA,2010,2011,ECONOMY/ BUDGET,Agriculture & Allied Activities (in Rs cr) ,Agriculture (Cr),1825.63,,,,,,,724279.85,,,,
BIHAR,,2012,HEALTH,No of Rural Beds (Govt),Rur. Beds (Govt),1830,,,,,,,160862,,,,
ORISSA,2011,2012,POPULATION,MPCE Urban (Rs Per month),MPCE-Urb,1830.33,,,,,,,1984,,,,
WEST BENGAL,,2011,HEALTH,No of Dispensaries ,Dispensaries ,1832,,,,,,,24146,,,,
BIHAR,2009,2010,EDUCATION,Schools and Colleges-Pre-Degree or Junior Colleges or Higher Sec. Schools,Junior Colleges,1837,,,,,,,66917,,,,
ANDHRA PRADESH,,2011,HEALTH,No of Dispensaries ,Dispensaries ,1837,,,,,,,922177,,,,
ARUNACHAL PRADESH,2009,2010,EDUCATION,Schools and Colleges-Primary or Jr Basic Schools,Primary Schools,1841,,,,,,,823162,,,,
MADHYA PRADESH,2011,2012,POPULATION,MPCE Urban (Rs Per month),MPCE-Urb,1842.35,,,,,,,1984,,,,
ORISSA,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Domestic),ppl handled Per Day (Domestic),1845,,,,,,,211622,,,,
GUJARAT,,2010,INDUSTRY & INFRASTRUCTURE,Avg No Of Passengers Handled Per Day (Intl),ppl handled Per Day (Intl),1875,,,,,,,93769,,,,
JHARKHAND,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of State Highways (Total in km),State Highways (km),1886,,,,,,,163898,,,,
JHARKHAND,2011,2012,POPULATION,MPCE Urban (Rs Per month),MPCE-Urb,1894.41,,,,,,,1984,,,,
SIKKIM,2009,2011,INDUSTRY & INFRASTRUCTURE,Other PWD Roads (Total in km),PWD Roads (km),1896,,,,,,,1005327,,,,
HARYANA,2011,2012,POPULATION,MPCE Rural (Rs Per month),MPCE-Rur,1925.96,,,,,,,1054,,,,
TAMIL NADU,2009,2010,EDUCATION,Colleges & Polytechnics-Total Colleges,Colleges-Total Colleges,1936,,,,,,,,,,0.7,
KARNATAKA,2012,2013,Fiscal Developments,Capital Receipts (2012-13 BE) (in Rs cr),Capital Receipts(Cr),1940,,,,,,,343880,,,,
UTTAR PRADESH,2011,2012,POPULATION,MPCE Urban (Rs Per month),MPCE-Urb,1942.25,,,,,,,1984,,,,
MEGHALAYA,2012,2013,Fiscal Developments,Tax Revenue (IN Rs cr) (BE),Tax Revenue(Cr),1960,,,,,,,947260,,,,
DAMAN & DIU,2010,2011,INDUSTRY & INFRASTRUCTURE,Invested Capital (in Rs cr),Invested Capital (Cr),1960,,,,,,,211660,,,,
MEGHALAYA,,2012,HEALTH,No of Urban Beds (Govt),Urb. Beds (Govt),1967,,,,,,,618664,,,,
ANDHRA PRADESH,2009,2010,EDUCATION,"Colleges & Polytechnics-Arts, Fine Arts, Social Work, Science & Commerce",Colleges -Arts,1970,,,,,,,2894,,,,
MIZORAM,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of Rural Roads (Total in km),Coverage-Rur. Roads (km),1972,,,,,,,1849805,,,,
UTTARAKHAND,2012,2013,Fiscal Developments,Interest Payments (in Rs cr) (BE),Interest Payments(Cr),1990,,,,,,,136050,,,,
ARUNACHAL PRADESH,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),1992,,,,,,,70934,,,,
TRIPURA,2011,2012,POPULATION,MPCE Urban (Rs Per month),MPCE-Urb,1996.66,,,,,,,1984,,,,
LAKSHADWEEP,,2011,POPULATION,Density Of Population (per sq km),Population Density,2013,,,,,,,382,,,,
UTTAR PRADESH,,2011,HEALTH,No of Dispensaries ,Dispensaries ,2013,,,,,,,922177,,,,
JHARKHAND,2011,2012,INDUSTRY & INFRASTRUCTURE,Railway Coverage (Total in km),Railway Coverage (km),2040,,,,,,,64600,,,,
UTTARAKHAND,2009,2011,INDUSTRY & INFRASTRUCTURE,Coverage Of National Highways (Total in km),National Highways (km),2042,,,,,,,70934,,,,
MAHARASHTRA,2009,2010,EDUCATION,"Colleges & Polytechnics-Arts, Fine Arts, Social Work, Science & Commerce",Colleges -Arts,2074,,,,,,,14321,,,,
TRIPURA,,2012,HEALTH,No of Urban Beds (Govt),Urb. Beds (Govt),2082,,,,,,,618664,,,,
ASSAM,2011,2012,POPULATION,MPCE Urban (Rs Per month),MPCE-Urb,2090.18,,,,,,,1984,,,,
CHHATTISGARH,2009,2010,EDUCATION,Schools and Colleges-High or Post Basic Schools,High Schools,2104,,,,,,,123745,,,,
HIMACHAL PRADESH,2012,2013,Fiscal Developments,Interest Payments (in Rs cr) (BE),Interest Payments(Cr),2120,,,,,,,136050,,,,
JAMMU & KASHMIR,,2012,HEALTH,No of Urban Beds (Govt),Urb. Beds (Govt),2125,,,,,,,618664,,,,
NAGALAND,2012,2013,Fiscal Developments,Capital Expenditure (BE) (in Rs cr),Capital Expenditure(Cr),2130,,,,,,,343880,,,,
